7zip 26.00-1
a52dec 0.8.0-2
aalib 1.4rc5-19
aardvark-dns 1.17.0-1
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-3
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-hk-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adobe-source-han-sans-otc-fonts 2.005-1
adobe-source-han-sans-tw-fonts 2.005-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
airshipper 0.16.0-2
alembic 1.8.10-2
alpine-chroot-install 0.14.0-4
alsa-card-profiles 1:1.4.10-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
aml 0.3.0-2
android-sdk 26.1.1-2
android-tools 35.0.2-23
android-udev 20250525-1
anubis 1.25.0-1
aom 3.13.1-2
apparmor 4.1.6-1
appmenu-gtk-module 25.04-2
appstream 1.1.2-1
appstream-glib 0.8.3-3
appstream-qt 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.10.0-2
arch-install-scripts 31-1
archlinux-keyring 20260206-1
argon2 20190702-6
asymptote 3.06-2
at-spi2-core 2.58.3-1
atkmm 2.28.4-1
attica 6.23.0-1
attr 2.5.2-1
audacity 1:3.7.7-1
audit 4.1.2-2
aurorae 6.6.0-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1
aws-c-auth 0.9.5-1
aws-c-cal 0.9.13-1
aws-c-common 0.12.6-1
aws-c-compression 0.3.2-1
aws-c-event-stream 0.5.9-1
aws-c-http 0.10.10-1
aws-c-io 0.26.1-1
aws-c-mqtt 0.13.4-1
aws-c-s3 0.11.5-1
aws-c-sdkutils 0.2.4-1
aws-checksums 0.2.10-1
aws-crt-cpp 0.37.2-1
aws-sdk-cpp-core 1.11.749-1
aws-sdk-cpp-iam 1.11.749-1
aws-sdk-cpp-s3 1.11.749-1
ayatana-ido 0.10.4-1
baloo 6.23.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bat 0.26.1-2
bazaar 0.7.7-1
bc 1.08.2-1
bcc 0.36.1-1
beeper-latest-bin 4.0.584-1
biglybt 3.9.0.0-1
binder_linux-dkms 6.16-2
binutils 2.46-1
binwalk 3.1.0-1
bison 3.8.2-8
blas 3.12.1-2
blender 17:5.0.1-5
blosc 1.21.6-2
blueprint-compiler 0.18.0-2
bluez-libs 5.86-2
boost 1.89.0-4
boost-libs 1.89.0-4
botan 3.10.0-2
bottles 2:52.0-1
breeze 6.6.0-2
breeze-cursors 6.6.0-2
breeze-icons 6.23.0-1
breezy 3.3.21-2
bridge-utils 1.7.1-2
brltty 6.8-6
brotli 1.2.0-1
btop 1.4.6-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.120.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-2
cairomm-1.16 1.18.0-2
calibre 8.7.0-9
cantarell-fonts 1:0.311-1
capstone 5.0.7-2
catatonit 0.2.1-2
cava 0.10.7-1
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.3-1
chafa 1.18.0-1
chmlib 0.40-10
chromaprint 1.6.0-2
chromium 145.0.7632.109-1
cifs-utils 7.4-1
cinny-desktop-bin 4.10.2-1
ckb-next-git 1:0.6.2.r95.gbccdec70-1
clang 21.1.8-1
clipgrab 3.9.10-1
clonezilla 5.14.5-1
clucene 2.3.3.4-17
cmake 4.2.3-1
cmark 0.31.2-1
cmocka 2.0.2-1
colord 1.4.8-1
